"id_producto","id_categoria","codigo_interno","tipo_vehiculo","marca","modelo","año","color","chasis","motor","kilometraje","combustible","transmision","numero_puertas","capacidad_pasajeros","estado","procedencia","ubicacion_actual","costo_base","precio_contado_sugerido","precio_venta_minimo","estado_disponibilidad","observaciones","fecha_ingreso","fecha_registro","activo"
17,1,"KMHJU81VBAU037208",NULL,"OTRO","TUCSON Color: GRIS Año: 2010 Motor: 2000 c.c",2010,"GRIS","KMHJU81VBAU037208","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"61034000.00","0.00","157200000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
18,1,"KMHJU81VBAU054728",NULL,"OTRO","TUCSON Color: GRIS Año: 2010 Motor: 2000 c.c",2010,"GRIS","KMHJU81VBAU054728","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","0.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-11","2026-02-03 01:33:20.122474",True
19,1,"KMHJU81VBCU300496",NULL,"OTRO","TUCSON Color: GRIS Año: 2012 Motor: 2000 c.c",2012,"GRIS","KMHJU81VBCU300496","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","130800000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-14","2026-02-03 01:33:20.122474",True
20,1,"KMHSW81UBEU267729",NULL,"OTRO","SANTA FE Color: AZUL Año: 2014 Motor: 2000 c.c",2014,"AZUL","KMHSW81UBEU267729","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"88026000.00","0.00","160000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-12-16","2026-02-03 01:33:20.122474",True
21,1,"KNAJE55135K073458",NULL,"OTRO","SPORTAGE Color: PLATA Año: 2005 Motor: 2000 c.c",2005,"PLATA","KNAJE55135K073458","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","60000000.00","VENDIDO","Migrado de SQL Server. Chapa: HEZ347","2026-01-06","2026-02-03 01:33:20.122474",True
22,1,"KNAPC813BBK009445",NULL,"OTRO","SPORTAGE Color: PLATA Año: 2011 Motor: 2000 c.c",2011,"PLATA","KNAPC813BBK009445","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","135000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
23,1,"KNAPC813BCK169728",NULL,"OTRO","SPORTAGE Color: GRIS Año: 2012 Motor: 2000 c.c",2012,"GRIS","KNAPC813BCK169728","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","130050000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
24,1,"KNAPC813BCK170619",NULL,"OTRO","SPORTAGE Color: BLANCO Año: 2012 Motor: 2000 c.c",2012,"BLANCO","KNAPC813BCK170619","2000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","129900000.00","VENDIDO","Migrado de SQL Server. Chapa: AAPK660","2025-10-16","2026-02-03 01:33:20.122474",True
25,1,"KZN1850054938",NULL,"OTRO","HILUX SURF Color: PLATA METALIZADO Año: 1998 Motor: 3000 c.c",1998,"PLATA METALIZADO","KZN1850054938","3000",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","130100000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
26,1,"N4F23000366",NULL,"OTRO","ATLAS Color: AZUL Año: 1995 Motor: 2500 c.c",1995,"AZUL","N4F23000366","2500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","0.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-11-03","2026-02-03 01:33:20.122474",True
